tick_ts_ms,symbols_count,bytes_sent_per_client
1762758633625,3,87
1762758633726,3,87
1762758633826,3,87
1762758633927,3,87
1762758634028,3,87
1762758634129,3,87
1762758634230,3,87
1762758634331,3,87
1762758634432,3,87
1762758634533,3,87
1762758634634,3,87
1762758634734,3,87
1762758634835,3,87
1762758634936,3,87
1762758635039,3,87
1762758635141,3,87
1762758635242,3,87
1762758635343,3,87
1762758635444,3,87
1762758635545,3,87
1762758635646,3,87
1762758635746,3,87
1762758635847,3,87
1762758635948,3,87
1762758636049,3,87
1762758636152,3,87
1762758636253,3,87
1762758636353,3,87
1762758636454,3,87
1762758636555,3,87
1762758636656,3,87
1762758636757,3,87
1762758636857,3,87
1762758636958,3,87
1762758637059,3,87
1762758637160,3,87
1762758637261,3,87
1762758637363,3,87
1762758637464,3,87
1762758637565,3,87
1762758637666,3,87
1762758637766,3,87
1762758637867,3,87
1762758637968,3,87
1762758638069,3,87
1762758638170,3,87
1762758638271,3,87
1762758638371,3,87
1762758638472,3,87
1762758638573,3,87
1762758638674,3,87
1762758638775,3,87
1762758638876,3,87
1762758638977,3,87
1762758639077,3,87
1762758639178,3,87
1762758639279,3,87
1762758639380,3,87
1762758639481,3,87
1762758639582,3,87
1762758639683,3,87
1762758639784,3,87
1762758639885,3,87
1762758639986,3,87
1762758640087,3,87
1762758640188,3,87
1762758640288,3,87
1762758640389,3,87
1762758640490,3,87
1762758640591,3,87
1762758640692,3,87
1762758640793,3,87
1762758640893,3,87
1762758640994,3,87
1762758641095,3,87
1762758641196,3,87
1762758641297,3,87
1762758641398,3,87
1762758641499,3,87
1762758641600,3,87
1762758641701,3,87
1762758641802,3,87
1762758641903,3,87
1762758642003,3,87
1762758642104,3,87
1762758642205,3,87
1762758642306,3,87
1762758642407,3,87
1762758642508,3,87
1762758642609,3,87
1762758642710,3,87
1762758642812,3,87
1762758642913,3,87
1762758643014,3,87
1762758643116,3,87
1762758643217,3,87
1762758643318,3,87
1762758643419,3,87
1762758643520,3,87
1762758643622,3,87
1762758643723,3,87
1762758643824,3,87
1762758643926,3,87
1762758644027,3,87
1762758644128,3,87
1762758644229,3,87
1762758644330,3,87
1762758644431,3,87
1762758644532,3,87
1762758644633,3,87
1762758644734,3,87
1762758644835,3,87
1762758644936,3,87
1762758645037,3,87
1762758645138,3,87
1762758645239,3,87
1762758645340,3,87
1762758645441,3,87
1762758645541,3,87
1762758645642,3,87
1762758645743,3,87
1762758645844,3,87
1762758645945,3,87
1762758646045,3,87
1762758646146,3,87
1762758646247,3,87
1762758646348,3,87
1762758646449,3,87
1762758646549,3,87
1762758646650,3,87
1762758646751,3,87
1762758646852,3,87
1762758646953,3,87
1762758647054,3,87
1762758647155,3,87
1762758647255,3,87
1762758647357,3,87
1762758647458,3,87
1762758647559,3,87
1762758647660,3,87
1762758647761,3,87
1762758647862,3,87
1762758647963,3,87
1762758648064,3,87
1762758648165,3,87
1762758648266,3,87
1762758648367,3,87
1762758648468,3,87
1762758648569,3,87
1762758648670,3,87
1762758648771,3,87
1762758648872,3,87
1762758648973,3,87
1762758649075,3,87
1762758649176,3,87
1762758649277,3,87
1762758649378,3,87
1762758649479,3,87
1762758649580,3,87
1762758649681,3,87
1762758649782,3,87
1762758649883,3,87
1762758649985,3,87
1762758650086,3,87
1762758650187,3,87
1762758650288,3,87
1762758650389,3,87
1762758650489,3,87
1762758650590,3,87
1762758650691,3,87
1762758650791,3,87
1762758650892,3,87
1762758650993,3,87
1762758651094,3,87
1762758651195,3,87
1762758651296,3,87
1762758651397,3,87
1762758651499,3,87
1762758651600,3,87
1762758651701,3,87
1762758651802,3,87
1762758651903,3,87
1762758652004,3,87
1762758652105,3,87
1762758652206,3,87
1762758652307,3,87
1762758652408,3,87
1762758652509,3,87
1762758652610,3,87
1762758652711,3,87
1762758652812,3,87
1762758652913,3,87
1762758653014,3,87
1762758653115,3,87
1762758653216,3,87
1762758653317,3,87
1762758653419,3,87
1762758653520,3,87
1762758653621,3,87
1762758653722,3,87
1762758653823,3,87
1762758653924,3,87
1762758654025,3,87
1762758654126,3,87
1762758654226,3,87
1762758654327,3,87
1762758654428,3,87
1762758654529,3,87
1762758654630,3,87
1762758654731,3,87
1762758654832,3,87
1762758654934,3,87
1762758655035,3,87
1762758655136,3,87
1762758655237,3,87
1762758655338,3,87
1762758655439,3,87
1762758655540,3,87
1762758655641,3,87
1762758655742,3,87
1762758655843,3,87
1762758655944,3,87
1762758656046,3,87
1762758656147,3,87
1762758656248,3,87
1762758656349,3,87
1762758656450,3,87
1762758656551,3,87
1762758656652,3,87
1762758656752,3,87
1762758656853,3,87
1762758656954,3,87
1762758657055,3,87
1762758657156,3,87
1762758657257,3,87
1762758657358,3,87
1762758657459,3,87
1762758657560,3,87
1762758657661,3,87
1762758657763,3,87
1762758657864,3,87
1762758657965,3,87
1762758658066,3,87
1762758658167,3,87
1762758658269,3,87
1762758658371,3,87
1762758658472,3,87
1762758658573,3,87
1762758658675,3,87
1762758658776,3,87
1762758658877,3,87
1762758658978,3,87
1762758659079,3,87
1762758659180,3,87
1762758659281,3,87
1762758659382,3,87
1762758659483,3,87
1762758659584,3,87
1762758659685,3,87
1762758659786,3,87
1762758659886,3,87
1762758659988,3,87
1762758660089,3,87
1762758660190,3,87
1762758660291,3,87
1762758660392,3,87
1762758660493,3,87
1762758660595,3,87
1762758660696,3,87
1762758660797,3,87
1762758660898,3,87
1762758660999,3,87
1762758661100,3,87
1762758661201,3,87
1762758661302,3,87
1762758661403,3,87
1762758661504,3,87
1762758661606,3,87
1762758661706,3,87
1762758661807,3,87
1762758661908,3,87
1762758662009,3,87
1762758662110,3,87
1762758662211,3,87
1762758662312,3,87
1762758662413,3,87
1762758662514,3,87
1762758662615,3,87
1762758662716,3,87
1762758662817,3,87
1762758662918,3,87
1762758663018,3,87
1762758663119,3,87
1762758663220,3,87
1762758663320,3,87
1762758663421,3,87
1762758663523,3,87
1762758663624,3,87
1762758663725,3,87
1762758663827,3,87
1762758663928,3,87
1762758664029,3,87
1762758664130,3,87
1762758664230,3,87
1762758664331,3,87
1762758664432,3,87
1762758664533,3,87
1762758664634,3,87
1762758664735,3,87
1762758664836,3,87
1762758664937,3,87
1762758665038,3,87
1762758665139,3,87
1762758665240,3,87
1762758665341,3,87
1762758665442,3,87
1762758665542,3,87
1762758665643,3,87
1762758665744,3,87
1762758665845,3,87
1762758665946,3,87
1762758666047,3,87
1762758666147,3,87
1762758666248,3,87
1762758666349,3,87
1762758666449,3,87
1762758666550,3,87
1762758666651,3,87
1762758666752,3,87
1762758666853,3,87
1762758666953,3,87
1762758667054,3,87
1762758667155,3,87
1762758667256,3,87
1762758667356,3,87
1762758667457,3,87
1762758667558,3,87
1762758667659,3,87
1762758667760,3,87
1762758667860,3,87
1762758667962,3,87
1762758668063,3,87
1762758668164,3,87
1762758668265,3,87
1762758668366,3,87
1762758668467,3,87
1762758668568,3,87
1762758668668,3,87
1762758668769,3,87
1762758668872,3,87
1762758668973,3,87
1762758669074,3,87
1762758669175,3,87
1762758669276,3,87
1762758669377,3,87
1762758669477,3,87
1762758669578,3,87
1762758669679,3,87
1762758669780,3,87
1762758669881,3,87
1762758669981,3,87
1762758670082,3,87
1762758670183,3,87
1762758670284,3,87
1762758670385,3,87
1762758670486,3,87
1762758670586,3,87
1762758670688,3,87
1762758670789,3,87
1762758670890,3,87
1762758670990,3,87
1762758671091,3,87
1762758671192,3,87
1762758671293,3,87
1762758671394,3,87
